Fetched 1000 contributors.

151. James Miller — https://contributors.rubyonrails.org/contributors/james-miller/commits (since 07 Sep 2008, commits 53)
152. Ravil Bayramgalin — https://contributors.rubyonrails.org/contributors/ravil-bayramgalin/commits (since 15 Dec 2010, commits 53)
153. Mikhail Dieterle — https://contributors.rubyonrails.org/contributors/mikhail-dieterle/commits (since 22 Jun 2011, commits 52)
154. Hendy Tanata — https://contributors.rubyonrails.org/contributors/hendy-tanata/commits (since 31 May 2011, commits 51)
155. T.J. Schuck — https://contributors.rubyonrails.org/contributors/t-j-schuck/commits (since 23 Sep 2013, commits 51)
156. Ben Orenstein — https://contributors.rubyonrails.org/contributors/ben-orenstein/commits (since 30 Oct 2009, commits 50)
157. David Chelimsky — https://contributors.rubyonrails.org/contributors/david-chelimsky/commits (since 26 May 2007, commits 50)
158. Paul Nikitochkin — https://contributors.rubyonrails.org/contributors/paul-nikitochkin/commits (since 10 Mar 2013, commits 50)
159. Yuki Nishijima — https://contributors.rubyonrails.org/contributors/yuki-nishijima/commits (since 04 Jun 2012, commits 50)
160. Dylan Thacker-Smith — https://contributors.rubyonrails.org/contributors/dylan-thacker-smith/commits (since 17 Jun 2012, commits 49)
161. Gaurav Sharma — https://contributors.rubyonrails.org/contributors/gaurav-sharma/commits (since 12 May 2008, commits 49)
162. Scott Barron — https://contributors.rubyonrails.org/contributors/scott-barron/commits (since 02 Mar 2005, commits 49)
163. Jeffrey Hardy — https://contributors.rubyonrails.org/contributors/jeffrey-hardy/commits (since 23 Sep 2007, commits 48)
164. Ronak Jangir — https://contributors.rubyonrails.org/contributors/ronak-jangir/commits (since 20 May 2015, commits 48)
165. Waynn Lue — https://contributors.rubyonrails.org/contributors/waynn-lue/commits (since 03 Jun 2011, commits 48)
166. hachi8833 — https://contributors.rubyonrails.org/contributors/hachi8833/commits (since 29 Feb 2020, commits 47)
167. Ray Baxter — https://contributors.rubyonrails.org/contributors/ray-baxter/commits (since 23 Nov 2010, commits 47)
168. Samuel Williams — https://contributors.rubyonrails.org/contributors/samuel-williams/commits (since 04 Sep 2015, commits 46)
169. Vladimir Dementyev — https://contributors.rubyonrails.org/contributors/vladimir-dementyev/commits (since 01 Feb 2015, commits 46)
170. Dino Maric — https://contributors.rubyonrails.org/contributors/dino-maric/commits (since 09 Jan 2017, commits 45)
171. Jorge Bejar — https://contributors.rubyonrails.org/contributors/jorge-bejar/commits (since 21 May 2011, commits 45)
172. Lauro Caetano — https://contributors.rubyonrails.org/contributors/lauro-caetano/commits (since 25 Oct 2013, commits 45)
